district_code,division_code,state_code,district_name,district_name_ll
466,03,27,Ahilyanagar,अहिल्यानगर
467,05,27,Akola,अकोला
468,05,27,Amravati,अमरावती
470,06,27,Beed,बीड
471,06,27,Bhandara,भंडारा
472,05,27,Buldhana,बुलढाणा
473,06,27,Chandrapur,चंद्रपूर
469,04,27,Chhatrapati Sambhajinagar,छत्रपती संभाजीनगर
488,04,27,Dharashiv,धाराशिव
474,03,27,Dhule,धुळे
475,06,27,Gadchiroli,गडचिरोली
476,06,27,Gondia,गोंदीया
477,04,27,Hingoli,हिंगोली
478,03,27,Jalgaon,जळगाव
479,04,27,Jalna,जालना
480,02,27,Kolhapur,कोल्हापूर
481,04,27,Latur,लातूर
482,01,27,Mumbai,मुंबई
483,01,27,Mumbai Suburban,मुंबई उपनगर
484,06,27,Nagpur,नागपूर
485,04,27,Nanded,नांदेड
486,03,27,Nandurbar,नंदूरबार
487,03,27,Nashik,नाशिक
665,01,27,Palghar,पालघर 
489,04,27,Parbhani,परभणी
490,02,27,Pune,पुणे
491,01,27,Raigad,रायगड
492,01,27,Ratnagiri,रत्नागिरी
493,02,27,Sangli,सांगली
494,02,27,Satara,सातारा
495,01,27,Sindhudurg,सिंधुदुर्ग
496,02,27,Solapur,सोलापूर
497,01,27,Thane,ठाणे
498,06,27,Wardha,वर्धा
499,05,27,Washim,वाशिम
500,05,27,Yavatmal,यवतमाळ
